id_provincia,id_region,provincia_n,region_n,provincia_nombre,provincia_name,fuente
p101,r10,101,10,Llanquihue,,Censo 2024
p102,r10,102,10,Chiloe,,Censo 2024
p103,r10,103,10,Osorno,,Censo 2024
p104,r10,104,10,Palena,,Censo 2024
p11,r1,11,1,Iquique,,Censo 2024
p111,r11,111,11,Coyhaique,,Censo 2024
p112,r11,112,11,Aysen,,Censo 2024
p113,r11,113,11,Capitan Prat,,Censo 2024
p114,r11,114,11,General Carrera,,Censo 2024
p121,r12,121,12,Magallanes,,Censo 2024
p122,r12,122,12,Antartica Chilena,,Censo 2024
p123,r12,123,12,Tierra del Fuego,,Censo 2024
p124,r12,124,12,Ultima Esperanza,,Censo 2024
p131,r13,131,13,Santiago,,Censo 2024
p132,r13,132,13,Cordillera,,Censo 2024
p133,r13,133,13,Chacabuco,,Censo 2024
p134,r13,134,13,Maipo,,Censo 2024
p135,r13,135,13,Melipilla,,Censo 2024
p136,r13,136,13,Talagante,,Censo 2024
p14,r1,14,1,Del Tamarugal,,Censo 2024
p141,r14,141,14,Valdivia,,Censo 2024
p142,r14,142,14,Ranco,,Censo 2024
p151,r15,151,15,Arica,,Censo 2024
p152,r15,152,15,Parinacota,,Censo 2024
p161,r16,161,16,Diguillin,,Censo 2024
p162,r16,162,16,Itata,,Censo 2024
p163,r16,163,16,Punilla,,Censo 2024
p21,r2,21,2,Antofagasta,,Censo 2024
p22,r2,22,2,El Loa,,Censo 2024
p23,r2,23,2,Tocopilla,,Censo 2024
p31,r3,31,3,Copiapo,,Censo 2024
p32,r3,32,3,Chañaral,,Censo 2024
p33,r3,33,3,Huasco,,Censo 2024
p41,r4,41,4,Elqui,,Censo 2024
p42,r4,42,4,Choapa,,Censo 2024
p43,r4,43,4,Limari,,Censo 2024
p51,r5,51,5,Valparaiso,,Censo 2024
p52,r5,52,5,Isla de Pascua,,Censo 2024
p53,r5,53,5,Los Andes,,Censo 2024
p54,r5,54,5,Petorca,,Censo 2024
p55,r5,55,5,Quillota,,Censo 2024
p56,r5,56,5,San Antonio,,Censo 2024
p57,r5,57,5,San Felipe de Aconcagua,,Censo 2024
p58,r5,58,5,Marga Marga,,Censo 2024
p61,r6,61,6,Cachapoal,,Censo 2024
p62,r6,62,6,Cardenal Caro,,Censo 2024
p63,r6,63,6,Colchagua,,Censo 2024
p71,r7,71,7,Talca,,Censo 2024
p72,r7,72,7,Cauquenes,,Censo 2024
p73,r7,73,7,Curico,,Censo 2024
p74,r7,74,7,Linares,,Censo 2024
p81,r8,81,8,Concepcion,,Censo 2024
p82,r8,82,8,Arauco,,Censo 2024
p83,r8,83,8,Biobio,,Censo 2024
p91,r9,91,9,Cautin,,Censo 2024
p92,r9,92,9,Malleco,,Censo 2024
