id_comuna,id_provincia,id_region,comuna_n,provincia_n,region_n,comuna_nombre,provincia_nombre,region_corto,comuna_name,superficie_km2,fuente
c1101,p11,r1,1101,11,1,Iquique,Iquique,Tarapacá,Iquique,2290.74,codigos especificos Censo 2024
c1107,p11,r1,1107,11,1,Alto Hospicio,Iquique,Tarapacá,Alto Hospicio,571.48,codigos especificos Censo 2024
c1401,p14,r1,1401,14,1,Pozo Almonte,Del Tamarugal,Tarapacá,Pozo Almonte,13775.46,codigos especificos Censo 2024
c1402,p14,r1,1402,14,1,Camiña,Del Tamarugal,Tarapacá,Camina,2201.45,codigos especificos Censo 2024
c1403,p14,r1,1403,14,1,Colchane,Del Tamarugal,Tarapacá,Colchane,4010.99,codigos especificos Censo 2024
c1404,p14,r1,1404,14,1,Huara,Del Tamarugal,Tarapacá,Huara,10479.18,codigos especificos Censo 2024
c1405,p14,r1,1405,14,1,Pica,Del Tamarugal,Tarapacá,Pica,8989.52,codigos especificos Censo 2024
c2101,p21,r2,2101,21,2,Antofagasta,Antofagasta,Antofagasta,Antofagasta,30702.19,codigos especificos Censo 2024
c2102,p21,r2,2102,21,2,Mejillones,Antofagasta,Antofagasta,Mejillones,3577.59,codigos especificos Censo 2024
c2103,p21,r2,2103,21,2,Sierra Gorda,Antofagasta,Antofagasta,Sierra Gorda,12892.42,codigos especificos Censo 2024
c2104,p21,r2,2104,21,2,Taltal,Antofagasta,Antofagasta,Taltal,20424.16,codigos especificos Censo 2024
c2201,p22,r2,2201,22,2,Calama,El Loa,Antofagasta,Calama,15544.66,codigos especificos Censo 2024
c2202,p22,r2,2202,22,2,Ollagüe,El Loa,Antofagasta,Ollague,2927.64,codigos especificos Censo 2024
c2203,p22,r2,2203,22,2,San Pedro de Atacama,El Loa,Antofagasta,San Pedro de Atacama,23612.8,codigos especificos Censo 2024
c2301,p23,r2,2301,23,2,Tocopilla,Tocopilla,Antofagasta,Tocopilla,4122.92,codigos especificos Censo 2024
c2302,p23,r2,2302,23,2,María Elena,Tocopilla,Antofagasta,Maria Elena,12339.14,codigos especificos Censo 2024
c3101,p31,r3,3101,31,3,Copiapó,Copiapo,Atacama,Copiapo,17792.72,codigos especificos Censo 2024
c3102,p31,r3,3102,31,3,Caldera,Copiapo,Atacama,Caldera,3680.84,codigos especificos Censo 2024
c3103,p31,r3,3103,31,3,Tierra Amarilla,Copiapo,Atacama,Tierra Amarilla,11258.48,codigos especificos Censo 2024
c3201,p32,r3,3201,32,3,Chañaral,Chañaral,Atacama,Chanaral,5760.88,codigos especificos Censo 2024
c3202,p32,r3,3202,32,3,Diego de Almagro,Chañaral,Atacama,Diego de Almagro,18981.67,codigos especificos Censo 2024
c3301,p33,r3,3301,33,3,Vallenar,Huasco,Atacama,Vallenar,7228.14,codigos especificos Censo 2024
c3302,p33,r3,3302,33,3,Alto del Carmen,Huasco,Atacama,Alto del Carmen,6159.29,codigos especificos Censo 2024
c3303,p33,r3,3303,33,3,Freirina,Huasco,Atacama,Freirina,3221.49,codigos especificos Censo 2024
c3304,p33,r3,3304,33,3,Huasco,Huasco,Atacama,Huasco,1601.95,codigos especificos Censo 2024
c4101,p41,r4,4101,41,4,La Serena,Elqui,Coquimbo,La Serena,1900.87,codigos especificos Censo 2024
