Fila;NombreCentral;Chimenea;UGE;Periodo;Fecha Carga;FECHA;AÑO;MES;DIA;HORA;CONCENTRACION_NOX_PPM;CONCENTRACION_NOX_MG_NM3;CONCENTRACION_SO2_PPM;CONCENTRACION_SO2_MG_NM3;CONCENTRACION_MP_MG_M3;CONCENTRACION_MP_MG_NM3;OXIGENO_PORCENTAJE_BASE_SECA;HUMEDAD_PORCENTAJE;CONCENTRACION_PORCENTAJE_CO2;TEMPERATURA_GASES_SALIDA_C;PRESION_GASES_SALIDA_ATM;FLUJO_GASES_SALIDA_NM3_H;TEMPERATURA_COMBUSTION_MINIMA_C;TEMPERATURA_COMBUSTION_MAXIMA_C;POTENCIA_BRUTA_MWH;CONCENTRACION_CO2_TON_MWH;CONCENTRACION_NOX_MG_MWH;CONCENTRACION_SO2_MG_MWH;CONCENTRACION_MP_MG_MWH;TIPO_DE_FUENTE_EMISORA;TIPO_COMBUSTIBLE;COMBUSTIBLE;ESTADO_UGE;TIPO_DATO_MP;TIPO_DATO_SO2;TIPO_DATO_NOX;TIPO_DATO_O2;TIPO_DATO_FLUJO;CONSUMO_COMBUSTIBLE;FLUJO_GASES_SALIDA_BASE_HUMEDA_M3_H;FLUJO_GASES_SALIDA_BASE_SECA_M3_H;TIPO_DATO_CO2;TIPO_DATO_TEMPERATURA;TIPO_DATO_PRESION;TIPO_DATO_HUMEDAD
54961;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 00:00;2018;10;1;0;156,1999969;313,8999939;138,5;387;9,699999809;16,20000076;6,900000095;8,699999809;13,19999981;140,8000031;0,970000029;615091,125;NA;NA;160;1;1129862;1393029;58144;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;962255,3125;878539,125;DM;DM;DM;MR
54962;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 01:00;2018;10;1;1;155,5;310,6000061;137,3000031;381,3999939;6,699999809;11,19999981;6,900000095;8,699999809;13,30000019;140;0,970000029;614452,875;NA;NA;160;1;1123518;1379664;40453;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;959447,8125;875975,875;DM;DM;DM;MR
54963;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 02:00;2018;10;1;2;156,6000061;313,7999878;135,8999939;378,7000122;6,800000191;11,39999962;6,900000095;8,699999809;13,19999981;139,5;0,970000029;613043,6875;NA;NA;161;1;1121972;1354358;40615;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;955991,5;872820,3125;DM;DM;DM;MR
54964;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 03:00;2018;10;1;3;158;315,7000122;133,8999939;372,3999939;7,099999905;11,80000019;6,900000095;8,699999809;13,30000019;139,3000031;0,970000029;614117,125;NA;NA;162;1;1126625;1328851;42173;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;958208;874843,875;DM;DM;DM;MR
54965;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 04:00;2018;10;1;4;157,5;315,2000122;133;370,2999878;7,199999809;12;6,900000095;8,699999809;13,19999981;139,3000031;0,970000029;614079,125;NA;NA;161;1;1130173;1327639;43073;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;958232,1875;874866;DM;DM;DM;MR
54966;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 05:00;2018;10;1;5;157,8999939;316;135;375,8999939;7,5;12,39999962;6,900000095;8,699999809;13,19999981;139,3000031;0,970000029;614572,3125;NA;NA;161;1;1133436;1348395;44622;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;958010,625;874663,6875;DM;DM;DM;MR
54967;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 06:00;2018;10;1;6;161,3000031;322,7999878;108,1999969;301,2000122;7,300000191;12;6,900000095;8,699999809;13,30000019;139,3999939;0,970000029;609779,375;NA;NA;161;1;1149161;1071966;42871;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;950852,6875;868128,5;DM;DM;DM;MR
54968;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 07:00;2018;10;1;7;156,3999939;314,7999878;139,1000061;389,5;7,5;12,5;7;8,699999809;13,10000038;139,6000061;0,970000029;615116,6875;NA;NA;161;1;1123790;1390333;44569;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;958661,125;875257,625;DM;DM;DM;MR
54969;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 08:00;2018;10;1;8;239;481,8999939;135,8999939;381,2000122;7,300000191;12,19999981;7;8,699999809;13,10000038;139,5;0,970000029;615831,1875;NA;NA;162;1;1708766;1351904;43237;EXISTENTE;SOLIDO;CARBON;RE;DM;DS;DS;DS;DM;83,19999695;959507,3125;876030,125;DS;DM;DM;MR
54970;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 09:00;2018;10;1;9;156,1999969;315,5;132,6999969;372,8999939;8;13,39999962;7;8,699999809;13,10000038;139,6999969;0,970000029;617441,8125;NA;NA;161;1;1127136;1332129;47998;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;962468,875;878734,125;DM;DM;DM;MR
54971;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 10:00;2018;10;1;10;138,6000061;281,8999939;136,5;386,3999939;5,099999905;8,600000381;7,099999905;8,699999809;13;139,1999969;0,970000029;538904,1875;NA;NA;141;1;996209;1365702;30522;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;838082,3125;765169,125;DM;DM;DM;MR
54972;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 11:00;2018;10;1;11;122,6999969;253,6000061;120,6999969;347,1000061;3,5;6;7,300000191;8,699999809;12,80000019;139,1999969;0,980000019;429997,4063;NA;NA;111;1;894211;1223955;21215;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;668056,5;609935,625;DM;DM;DM;MR
54973;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 12:00;2018;10;1;12;111,1999969;250,3999939;97,30000305;305;3,099999905;5,699999809;8,5;8,699999809;11,69999981;136,6000061;0,980000019;347863,6875;NA;NA;80;1;909161;1107316;20770;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;537036,875;490314,6875;DM;DM;DM;MR
54974;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 13:00;2018;10;1;13;108,4000015;248,8000031;93,5;298,5;3;5,699999809;8,699999809;8,699999809;11,5;135,6000061;0,970000029;346658,1875;NA;NA;77;1;918157;1101771;21064;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;534413,875;487919,9063;DM;DM;DM;MR
54975;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 14:00;2018;10;1;14;105,5;239,3999939;114,1999969;360,3999939;3;5,5;8,5;8,699999809;11,60000038;135,6999969;0,970000029;346377,5;NA;NA;77;1;892757;1344330;20566;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;534633,1875;488120,0938;DM;DM;DM;MR
54976;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 15:00;2018;10;1;15;105,0999985;239,3999939;110,6999969;350,6000061;2,900000095;5,5;8,600000381;8,699999809;11,60000038;135,8999939;0,970000029;345002,6875;NA;NA;76;1;897788;1315057;20626;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;533362,8125;486960,1875;DM;DM;DM;MR
54977;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 16:00;2018;10;1;16;104,0999985;237,5;109,9000015;348,7000122;2,900000095;5,5;8,600000381;8,699999809;11,60000038;136,1999969;0,970000029;341448,6875;NA;NA;76;1;880106;1292304;20323;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;528229,8125;482273,8125;DM;DM;DM;MR
54978;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 17:00;2018;10;1;17;97,80000305;189,6999969;133,8999939;361,2999878;3,200000048;5,099999905;6,5;8,699999809;14;136,8000031;0,970000029;376440,3125;NA;NA;96;1;721198;1374030;19482;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;583190,8125;532453,1875;DM;DM;DM;MR
54979;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 18:00;2018;10;1;18;148,1999969;287;123,1999969;332;5,099999905;8,199999809;6,400000095;8,699999809;13,69999981;138,1999969;0,970000029;554704,8125;NA;NA;142;1;1088949;1259430;31156;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;862419,3125;787388,875;DM;DM;DM;MR
54980;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 19:00;2018;10;1;19;150,3000031;304,1000061;100,8000031;283,7999878;5,599999905;9,399999619;7;8,699999809;13,10000038;137,6000061;0,970000029;586554,1875;NA;NA;149;1;1113246;1038730;34409;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;910475,875;831264,5;DM;DM;DM;MR
54981;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 20:00;2018;10;1;20;154,1999969;306,8999939;138,6999969;384,2000122;6,400000095;10,5;6,800000191;8,699999809;13,30000019;137,3999939;0,970000029;615533,125;NA;NA;161;1;1108851;1387872;37868;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;955165;872065,625;DM;DM;DM;MR
54982;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 21:00;2018;10;1;21;152,8999939;302;135;371;5,900000095;9,699999809;6,699999809;8,699999809;13,39999962;137,1000061;0,970000029;610516,8125;NA;NA;160;1;1097143;1347619;35157;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;945711;863434,1875;DM;DM;DM;MR
54983;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 22:00;2018;10;1;22;157,5;311,5;128,6000061;354;6,300000191;10,19999981;6,699999809;8,699999809;13,39999962;137,1000061;0,970000029;613392,8125;NA;NA;161;1;1128351;1282464;36948;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;950101,1875;867442,375;DM;DM;DM;MR
54984;ANDINA;CTA;CTA;2018/4;29/01/2019;01/10/2018 23:00;2018;10;1;23;158,5;315,3999939;130,6000061;361,5;3,400000095;5,599999905;6,800000191;8,699999809;13,30000019;137,6999969;0,970000029;618168,125;NA;NA;161;1;1145051;1312374;20368;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;83,19999695;958853,875;875433,625;DM;DM;DM;MR
54985;ANDINA;CTA;CTA;2018/4;29/01/2019;02/10/2018 00:00;2018;10;2;0;155,1999969;310;139,1999969;386,8999939;3,200000048;5,300000191;6,900000095;8,699999809;13,30000019;138;0,970000029;618198,1875;NA;NA;160;1;1127691;1407548;19297;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;82,90000153;960623;877048,8125;DM;DM;DM;MR
54986;ANDINA;CTA;CTA;2018/4;29/01/2019;02/10/2018 01:00;2018;10;2;1;155,8999939;311;120,9000015;335,6000061;3,200000048;5,199999809;6,900000095;8,699999809;13,30000019;137,6999969;0,970000029;613231,6875;NA;NA;161;1;1117050;1205325;18666;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;82,90000153;952203,375;869361,6875;DM;DM;DM;MR
54987;ANDINA;CTA;CTA;2018/4;29/01/2019;02/10/2018 02:00;2018;10;2;2;153,8000031;307,3999939;142,8999939;397,3999939;3,099999905;5,099999905;6,900000095;8,699999809;13,19999981;137,3000031;0,970000029;610440,8125;NA;NA;159;1;1110954;1436073;18356;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;82,90000153;947004,5;864615,125;DM;DM;DM;MR
54988;ANDINA;CTA;CTA;2018/4;29/01/2019;02/10/2018 03:00;2018;10;2;3;155,3999939;311,2999878;127,0999985;354,2000122;3,099999905;5,099999905;6,900000095;8,699999809;13,19999981;137,1999969;0,970000029;613360,6875;NA;NA;161;1;1113444;1266894;18393;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;82,90000153;951263,125;868503,1875;DM;DM;DM;MR
54989;ANDINA;CTA;CTA;2018/4;29/01/2019;02/10/2018 04:00;2018;10;2;4;155,1999969;310,1000061;126,1999969;350,6000061;3,099999905;5,199999809;6,900000095;8,699999809;13,30000019;137,1999969;0,970000029;611969,375;NA;NA;160;1;1116826;1262742;18599;EXISTENTE;SOLIDO;CARBON;RE;DM;DM;DM;DM;DM;82,90000153;949214,125;866632,375;DM;DM;DM;MR
